Row;ADOBE_NAS_;ADVANCEDMICRODEVICES;ALPHABET_A_;ALPHABET_C_;AMAZON_COM;AMER_ELEC_PWR_;AMGEN;ANALOGDEVICES;ANSYS;APPLE;APPLIEDMATS_;ASMLHLDG_ADR1_1;ASTRAZENECAADR2_1;ATLASSIAN_A_;AUTODESK;AUTOMATICDATAPROC_;AXONENTERPRISE;BAKERHUGHESA;BIOGEN;BOOKINGHOLDINGS;BROADCOM;CADENCEDESIGNSYS_;CDW;CHARTERCOMMS_CL_A;CINTAS;CISCOSYSTEMS;COCACOLAEUROPACIFICPARTNERS;COGNIZANTTECH_SLTN__A_;COMCASTA;COPART;COSTARGP_;COSTCOWHOLESALE;CROWDSTRIKEHOLDINGSA;CSX;DATADOGA;DEXCOM;DIAMONDBACKENERGY;ELECTRONICARTS;EXELON;FASTENAL;FORTINET;GILEADSCIENCES;HONEYWELLINTL_;IDEXXLABORATORIES;INTEL;INTUIT;INTUITIVESURGICAL;KEURIGDRPEPPER;KLA;KRAFTHEINZ;LAMRESEARCH;LINDE_NYS_;LULULEMONATHLETICA;MARRIOTTINTL__A_;MARVELLTECHNOLOGY;MERCADOLIBRE;METAPLATFORMSA;MICROCHIPTECH_;MICRONTECHNOLOGY;MICROSOFT;MICROSTRATEGY;MONDELEZINTERNATIONALCL_A;MONGODBA;MONSTERBEVERAGE;NETFLIX;NVIDIA;NXPSEMICONDUCTORS;OLDDOMINIONFGT_LINES;ONSEMICONDUCTOR;OREILLYAUTOMOTIVE;PACCAR;PALOALTONETWORKS;PAYCHEX;PAYPALHOLDINGS;PDDHOLDINGSADS1_4;PEPSICO;QUALCOMM;REGENERONPHARMS_;ROPERTECHNOLOGIES;ROSSSTORES;STARBUCKS;SYNOPSYS;TAKETWOINTACT_SFTW_;TESLA;TEXASINSTRUMENTS;TRADEDESKCL_A;T_MOBILEUS;VERISKANALYTICSCL_A;VERTEXPHARMS_;WARNERBROSDISCOVERYSERIESA;WORKDAYCLASSA;XCELENERGY;ZSCALER
ADOBE_NAS_;0.00431782563181497;0.00387717644916149;0.00679456554741492;0.00421587529690033;0.00484809856530113;0.00784821044130061;0.00423840411506341;0.00366401438197093;0.00477122871974431;0.00204523824747038;0.000484871369036134;0.00168168969954116;0.00211989991576852;0.00354296208523581;0.00359942712998979;0.000881216578838268;0.0067207194678102;0.00472080452760923;0.00261570050568616;0.00352288240529243;0.00200505222850295;0.000711954588605821;0.00159203551181193;0.00135906343170316;0.00203698155221389;0.00466439300375804;0.00121559766217601;0.000253472073599104;0.00322054680106482;0.00283278547599236;0.00499851103822756;0.00507899492278432;0.00106316803070791;0.00273685734717685;0.00778355372787155;0.00425012921709832;0.00449636181826656;0.00310123267841704;0.00206395538491658;0.00443518989363003;0.00340849018255796;0.00239542332853089;0.00111485372251419;0.00282136734085511;0.00202597693996372;0.00461985220076381;0.00347897714540062;0.00407418778616777;0.00361976005690969;0.00248414268912944;0.00090929422604582;0.00138180223944878;0.00515573354299997;0.00165176162394937;0.00189797168646585;0.00117004666344205;0.00423924396894129;0.00327014450028593;0.00268946041746663;0.00270474376453583;0.00114429859305649;0.00256209968983647;0.00114043837931868;0.00375951037185643;0.00167350197509002;0.00262454803376078;0.00241919376009153;0.00163999574493502;0.00425409712992938;0.00283155336465158;0.00201825936662621;0.0034710387320771;0.00215477147824156;0.000830675661036544;0.00363912429935666;0.00272428982498936;0.00100255689012665;0.0050841122437237;0.000436812236795019;0.00391183265211598;0.00239930911188406;0.00171517122540322;0.00373724891520197;0.00206869637468271;0.00407031015184245;0.00597039940847004;0.0025315075257307;0.00106222807659874;0.00439055001280176;0.00465101358837735;0.00370217088926404;0.00548770924448569;0.000967906749178936
ADVANCEDMICRODEVICES;0.00387717644916149;0.00798758342080203;0.00841049378217447;0.00523711187933774;0.0049583513137557;0.0138167785749631;0.00494934700283347;0.0040717408311896;0.00507239506333019;0.00319732088925862;0.00220647618502195;0.00250465826714748;0.00309677830984069;0.00517624995638295;0.00500493080525733;0.00202869437311282;0.00816131910701488;0.00637332690413885;0.00495120153435917;0.00621056945882113;0.00413319649448471;0.00170714010862022;0.00301530932776338;0.00170667312399585;0.00357038554121121;0.00481137657037517;0.00201743177385012;0.000875108298697085;0.005079846359836;0.00318957515740805;0.00805289561736505;0.00593662822080754;0.00192812876750937;0.0042909690273539;0.00854659842842002;0.00457216870472126;0.00544354885054437;0.00388033448246878;0.00391527204031538;0.00396580411884063;0.00480503781244663;0.00302062900913722;0.00201657051543415;0.00515544428812429;0.00305674824494984;0.004579200655576;0.00618325446536879;0.0057280796071657;0.00429576443558389;0.00366110561738844;0.00120571460870402;0.00373916290029758;0.00648568987456516;0.00322544706768758;0.00307224788992742;0.00135462750617368;0.00580377664319403;0.00310163615295673;0.00366011596622196;0.00489571274816092;0.001234938508626;0.0032373537678495;0.00246710764342464;0.00579600731521574;0.00217348332048719;0.00362854592816204;0.00384941551166957;0.00289547533607199;0.00487770992913256;0.00470450458866872;0.0029607218814606;0.00467320528879876;0.00333833483606842;0.00155000791971274;0.00484583266796333;0.00376075605835825;0.00268581916454441;0.00524756072680751;0.00141238726959626;0.00620509466453003;0.00337198243957921;0.00560167636617782;0.00511915767524499;0.00330199651895544;0.0061653853576423;0.00852514702900648;0.00289524893925172;0.0014893135024416;0.00703587143810508;0.00672609397120809;0.00412455715881056;0.00567501450069163;0.00135742523187411
ALPHABET_A_;0.00679456554741492;0.00841049378217447;0.0240783646208398;0.00984002096346674;0.0104758715548968;0.0158552471347204;0.00901398350826544;0.00730868417803353;0.0119863530267488;0.00561827267503903;0.00183645144853685;0.00378488509841027;0.00425001624502878;0.00755727404878332;0.00747810193193781;0.0011964497547001;0.0184330180205362;0.00949010699900869;0.00680409078374758;0.0104718993217373;0.0069718080158366;0.000725115681772509;0.00260306610300819;-0.000747165495584463;0.00501963357348915;0.011859335032856;0.00293135622412567;-0.000804205564235501;0.00646127182541564;0.00584426170272525;0.0101420964642158;0.00900430125724879;0.0020163317495654;0.00751817825960912;0.0237159823775936;0.00967954910381852;0.0117972021177865;0.00908930533511906;0.00487637381307448;0.00921447047147483;0.00618605291906791;0.00604081665279398;0.00142273382076479;0.00628260291757617;0.0025071948626625;0.0105494243362197;0.00636626345111926;0.00804135503546729;0.00774263328199014;0.00465675475006876;0.000347637172280601;0.0036692313675667;0.0160277830439002;0.00305838400136236;0.00375335909925707;0.00355590059715065;0.00831191476960159;0.00610196281877716;0.00535154369281795;0.00473114019688914;0.000361408269482634;0.00514120724531644;0.00114581340187118;0.0105897651145602;0.00421686549000094;0.00484194169903611;0.00551436210703732;0.00229796601206321;0.00647950606982417;0.00397156265155475;0.00257212765474452;0.00769620475120895;0.0046661314025504;-0.000201244309137565;0.0078827718243184;0.00545644494207063;0.00245121003365929;0.0102559259918588;-0.000606781341521649;0.00996995148559441;0.00682651240513488;0.0062476505257869;0.0103713700481161;0.00254316328650413;0.00770860251716834;0.0118774730682763;0.00565224012095239;0.00224518510053638;0.0112207980664123;0.00915508857366038;0.00741325976043858;0.0128118097166961;0.00155797701013726
ALPHABET_C_;0.00421587529690033;0.00523711187933774;0.00984002096346674;0.00892790237326513;0.00658318270934239;0.0129862054604883;0.00534862553758106;0.00532075165545207;0.00744055792536533;0.00310721162793538;0.00155990892366879;0.00213120516137929;0.00192514526930699;0.00358539953788526;0.00456050146460915;0.000204329600750415;0.00935137309545532;0.00580422410443786;0.00306934726011171;0.00572001754135594;0.00333741409728167;0.000379101426004056;0.0011867542571315;0.00166399808488236;0.0020412512537316;0.00630597585840025;0.00128343653472554;-0.000702764193466252;0.00380796728557099;0.0032544416701737;0.00709951720780276;0.00686102323822931;0.00136755878538798;0.00284248674666217;0.0146786652178736;0.00552007071676808;0.00665272103294709;0.00476022374940643;0.00254926739156782;0.00572928111472041;0.0035287469740099;0.0023434095588394;-0.000183259546162072;0.00360388233675437;0.0019412146861505;0.00646848247779638;0.0061660297927707;0.00584428447290342;0.00424204710923301;0.00256631631496759;0.000392519843451588;0.00191911934963413;0.00941519201940366;0.00129938211994288;0.00224552286436081;0.000746827775044849;0.0051982846936938;0.00402132428477195;0.00255697282653864;0.00406312508162163;0.000134113992387318;0.00314972133443265;0.000879818148415592;0.00546648343982342;0.00202203521587429;0.00182051322923445;0.00318983795458825;0.000408549687922985;0.00386030915692082;0.00282249465931738;0.00157290249278563;0.0043688716587998;0.00259189951289067;0.000149342558068233;0.004709246031561;0.00638819309436809;0.0016412951587593;0.00771737162164556;-0.000440538769547014;0.00471804739197829;0.00417183979788231;0.00397706460078368;0.0064489960339587;0.00282642182287911;0.00519943097172007;0.00934264668265149;0.00331409718590623;8,69E+08;0.00570105193007733;0.00780256566363891;0.00543538957012066;0.00666592794953415;0.000107988798398391
AMAZON_COM;0.00484809856530113;0.0049583513137557;0.0104758715548968;0.00658318270934239;0.016021609418828;0.0102334581005167;0.00625061680322945;0.00604190359270171;0.00517038123312556;0.0031879759149901;0.00105447537606534;0.00268580209983611;0.00476188002689239;0.00400271330116006;0.00515511867262928;0.00156273554701979;0.00998983877567693;0.00566878234569051;0.00614034157284656;0.00605069931936139;0.00415943119551082;0.000433380994130495;0.00254535178935909;0.00685603041566666;0.00470752913318343;0.00751727231466362;0.00237145523584031;0.000223038516089669;0.00329512055054925;0.00439751094968656;0.00811316482071997;0.00552255030913381;0.0027328200556663;0.00458779916654245;0.0113146733548364;0.00650644110239972;0.00676677041235058;0.00432447335152844;0.00584406318898825;0.00514732537505458;0.00521905659327079;0.00299872118199213;0.00183477331075705;0.00582598696246556;0.00277069359402756;0.00651289578502593;0.0087172855356646;0.00598558182243765;0.00554600831985734;0.00372413439643017;0.002509987242214;0.00266281247106879;0.0092035062263279;0.003041305173214;0.003529338170315;0.00132666115859083;0.00673513856881777;0.00368991142495242;0.00480777582787232;0.00466178268062157;0.00208837917112746;0.00462732297087482;0.00144039736172985;0.00733415732479632;0.00330811160503868;0.00472202868372964;0.0037864158706609;0.00371130098742235;0.00262148327499845;0.00404157555326346;0.00166573707308082;0.00466595526567781;0.00136373671476332;0.00154624550223234;0.00616451636793537;0.0050112353809014;0.00342194146923421;0.00528859355872121;0.000887205923934363;0.00720919727918341;0.00472884981001086;0.00266229094565436;0.0040357895465394;0.00298849295732159;0.00605566101445545;0.00974807319529769;0.00475299411287381;0.000904545332988101;0.00678891698888957;0.00737131186645023;0.00611169411490469;0.00713107299617593;0.00179585732346511
AMER_ELEC_PWR_;0.00784821044130061;0.0138167785749631;0.0158552471347204;0.0129862054604883;0.0102334581005167;0.0477536277823892;0.0117448146343719;0.00914828855090477;0.0117348027736073;0.00691889496745862;0.00375816971674736;0.00488737362848407;0.00610566071551577;0.00787544516189114;0.0104073791592268;0.00262457616650651;0.0166538391851143;0.0108414228324674;0.0109533069532399;0.0112337539077469;0.0078701455167494;4,65E+09;0.00647526703430749;0.00775223529883376;0.00501330322998579;0.0127212667856402;0.00460157982947544;-0.00167526516379665;0.0122536496673852;0.00537270348549981;0.0152698169840766;0.0166132067541107;0.00185255323472417;0.00796447203119968;0.0329183197082324;0.0101316745913195;0.0108931858548364;0.00668991960978485;0.00558430223387037;0.0106763617348346;0.0100920271878033;0.00727585875268486;0.00130960154206542;0.0132837492755979;0.00465033467222253;0.0112179831420698;0.0149028354840425;0.0139324470688633;0.0109978193250364;0.00638871682865885;0.000843485889728414;0.00545239786507349;0.0190724606655322;0.00497453619690211;0.0070911519365344;0.000196959651297009;0.0135830369279059;0.0127853496656129;0.00942110619352139;0.0109442758923724;0.00184603970317604;0.00726666777173758;0.00492290715674043;0.0128292269290274;0.00647368290634464;0.00791156906303642;0.00727020317930281;0.00326050307433317;0.0115653837558282;0.0118163983454983;0.00429540418274001;0.0108080521840202;0.00785926218805883;0.000613339947973851;0.0118232507301027;0.0146487206213023;0.00811972290190855;0.0178133840518675;0.00130549539798972;0.0125161479169797;0.0108660986265651;0.0153968005015074;0.0175341291738738;0.00842729823688942;0.0146883745457312;0.0219502221752612;0.00656388704920333;0.00109008860261439;0.0183873359624074;0.0204595374280352;0.00922960935870003;0.0114523919040995;0.000477746884963295
AMGEN;0.00423840411506341;0.00494934700283347;0.00901398350826544;0.00534862553758106;0.00625061680322945;0.0117448146343719;0.0116767852069292;0.00506169096264339;0.00628611579085042;0.00226631634817066;0.000321503499328487;0.0027011014385451;0.00232626431252792;0.00457429921375461;0.00466440971562583;0.000396566042678416;0.00856785499016127;0.00484016449780228;0.00517087991816824;0.00496954092582293;0.00376360031667573;0.000339865285913073;0.0030056311388144;0.000553694560908937;0.00216783010208481;0.00792695062402491;0.00184825190932969;-5,68E+09;0.00424684571005567;0.00346214834796607;0.00509795342691607;0.00679594015688125;0.000356110746994995;0.00452720280322178;0.00809859557899959;0.00689273445061698;0.00740098762950112;0.00499143196193338;0.00238988283653429;0.00534814635306724;0.00337213145791861;0.00396792904415644;0.00064170230468242;0.00637380141480699;0.00152101320949352;0.00511831717028603;0.00474570223180822;0.00675970808137601;0.00379260534330131;0.00229140516434641;0.000411466284664225;0.000258643409298143;0.0113931747564557;0.00205395248101572;0.00270366641198682;0.000295399068169295;0.0063641086757877;0.00398237331121683;0.00347256366195575;0.00373166094726405;0.000620506259390572;0.00219242209908412;0.00104476009678949;0.00659961459259633;0.00177579175972607;0.00479100542877904;0.00232171511549754;0.00315386227614843;0.0044014810478582;0.00451403244216329;0.00174961871957707;0.0045419972907513;0.00237571235523643;-0.000433073403148022;0.00510665920026822;0.00287423465433954;0.00321018161492096;0.0073994911720825;0.00020987117514834;0.00592862490026291;0.00149766216502956;0.00312225559847638;0.00480070000491078;0.00188058398774577;0.00588838833834949;0.00772594621161748;0.00425289808143684;0.00044831949630828;0.00778276112108995;0.00645733791348606;0.00499175434798485;0.00755880621970401;0.000615303187796231
ANALOGDEVICES;0.00366401438197093;0.0040717408311896;0.00730868417803353;0.00532075165545207;0.00604190359270171;0.00914828855090477;0.00506169096264339;0.00711542385602957;0.00430999822498201;0.00230566634221645;0.00077055551801516;0.00230034314926339;0.00206096753653162;0.00357922502384205;0.00420406159108023;0.00101316327245291;0.0065275014425865;0.00427592095340633;0.00389864187678523;0.00439258175059109;0.00292599437130684;0.000503208818946078;0.00223601547426399;0.00369611501302719;0.00293692651851948;0.00575382570636205;0.0024040612962767;-0.000430700442601687;0.00316698004658086;0.00281113572227248;0.00577643373805914;0.00496417773765095;0.000582713197189023;0.00312114691450558;0.00846113520650499;0.00470695131423243;0.00526430140114124;0.00478944571802909;0.00298314174122728;0.00417776364987353;0.00381113712556922;0.00232839185439357;0.000648185243014947;0.00501813208708452;0.00174671648973379;0.00495944003283936;0.00545145518676243;0.00506188222761955;0.00419127345027033;0.00260689860114299;0.00112443572068499;0.0028186346838375;0.00661356015112922;0.00175062845598959;0.00276605461864642;0.000346267320625113;0.00472753022875023;0.00317855262858355;0.00295945046789222;0.00349816937000152;0.00149755919484927;0.00250953024350948;0.00197895981108065;0.00503859613669065;0.00175089092517922;0.00247656207932975;0.00258403155352378;0.00219122221655092;0.00343656915801933;0.00468220851068325;0.000853497980424551;0.0041480243394815;0.00139461365714368;0.00103392169556789;0.00425834526753185;0.00562813059237864;0.00434586199241623;0.00559382741809294;0.00106269352542497;0.00491010324943974;0.00323705093314214;0.00401402473313273;0.00391227819282313;0.0020009543021309;0.00484249260165924;0.00776691846447061;0.00370736251141755;0.000920813752046463;0.00602023817425511;0.00438953907487006;0.00715222075445651;0.00557597713953265;0.00147308780361286
ANSYS;0.00477122871974431;0.00507239506333019;0.0119863530267488;0.00744055792536533;0.00517038123312556;0.0117348027736073;0.00628611579085042;0.00430999822498201;0.014791653333288;0.0040319365343227;0.00163074007778156;0.00327842244171614;0.00237220381415279;0.00680040070171939;0.00499265220284803;0.000261081649800516;0.00996844290717037;0.00699983146613484;0.00522849574106274;0.0046844198732508;0.0037728527821704;0.00111788523737927;0.00241128129945229;0.00129867912833772;0.00260273837527235;0.00722376415081858;0.0021750269285842;0.00138400335376948;0.00479928558599422;0.0038409996578946;0.00955548945311055;0.00815253620441805;0.00144547694682647;0.00406593212948926;0.0176791369793124;0.00682862041557146;0.00722548609550719;0.00472357425776477;0.00461099970326325;0.00662973118008408;0.00469666874702584;0.00504062403890221;0.000463766211498889;0.0047538450389278;0.00295572664498888;0.00702755027932562;0.00708768253870319;0.00738656930709175;0.00553984456874198;0.00291536642593424;0.000143293376253656;0.00318383225602967;0.00992673203503303;0.00149625166261483;0.00271969448467989;0.00131290156641887;0.00733303625396738;0.00743499616243728;0.00324543156265475;0.00433019411352794;-7,94E+09;0.00362050913431236;0.00110323844959284;0.00585700451058218;0.00307242020067308;0.00394569714019005;0.00370546929091424;0.00154793180066811;0.0079647697773092;0.00290209858405214;0.00261753000911753;0.00674479992884431;0.00554685498530655;-9,61E+09;0.00500690758751061;0.0073386334266925;0.00200723772834443;0.00813955175521015;-0.000539722150712638;0.00553380996429444;0.00412662145840738;0.00561762942891022;0.00849477864908222;0.00382789956709888;0.00481089118078747;0.00701801603331535;0.00441927994509974;0.00124462254977487;0.00610368430699911;0.00872464107441742;0.00433327541874406;0.00905382126963995;5,51E+08
APPLE;0.00204523824747038;0.00319732088925862;0.00561827267503903;0.00310721162793538;0.0031879759149901;0.00691889496745862;0.00226631634817066;0.00230566634221645;0.0040319365343227;0.00430224783662365;0.00163588242214375;0.00181745973559913;0.00159724349541933;0.00393819694595032;0.00254696025039645;0.00111453576698522;0.00530069813785387;0.00321600073212554;0.00241461239582348;0.00416817513153681;0.00228581637525547;0.00067550040931567;0.00163881265142901;-0.0014263204221996;0.0013924108415414;0.00323651740476308;0.00210382665299662;6,84E+09;0.00297509107696035;0.00147952071254605;0.00456445488539017;0.00381153528575211;0.00172835333325631;0.00228559248421697;0.0079807087184114;0.00297099278029986;0.00366088317445457;0.00240332218742953;0.00301607196220139;0.00245534547069595;0.00280122980400595;0.00277897889385071;0.00121553315919924;0.00298077172700757;0.00149434835008354;0.00292115178269676;0.00243690023933874;0.00292800750057959;0.00298689202098261;0.00244538406296345;0.00142219297323278;0.00198966534977263;0.00468521267939345;0.00115148080236837;0.00230492362229994;0.000910711344317807;0.00284809388399152;0.00232079211102163;0.00275747188655589;0.0033792392168793;0.000860725626210304;0.00207797897525489;0.00131762553332545;0.00366513738043176;0.00142130692422649;0.00254541903680678;0.00323808334523191;0.00122070131407813;0.00394644679781488;-6,02E+09;0.000376690412022188;0.00372517139588569;0.00218381277444856;0.00102039043120629;0.00300917948559156;0.00409227568363329;0.000281501192148175;0.00367258886269874;0.000537790720670148;0.0029754631448066;0.0028407989191876;0.00187418363335739;0.00365438318768838;0.00197219896849753;0.00330300668187703;0.00418696985823994;0.00223551242596899;0.000388076304060697;0.00366260605839237;0.00476041800565367;0.0023111255210622;0.00395440224847099;0.000948600530685516
